,logic_number,logic_name
91,logic00092,sma_slope_80-10_RSI_9_MACD_30-10
92,logic00093,sma_slope_80-10_RSI_9_MACD_30-20
93,logic00094,sma_slope_80-10_RSI_9_MACD_20-10
94,logic00095,sma_slope_80-20_RSI_22_MACD_30-10
95,logic00096,sma_slope_80-20_RSI_22_MACD_30-20
96,logic00097,sma_slope_80-20_RSI_22_MACD_20-10
97,logic00098,sma_slope_80-20_RSI_14_MACD_30-10
98,logic00099,sma_slope_80-20_RSI_14_MACD_30-20
99,logic00100,sma_slope_80-20_RSI_14_MACD_20-10
100,logic00101,sma_slope_80-20_RSI_9_MACD_30-10
101,logic00102,sma_slope_80-20_RSI_9_MACD_30-20
102,logic00103,sma_slope_80-20_RSI_9_MACD_20-10
103,logic00104,sma_slope_80-40_RSI_22_MACD_30-10
104,logic00105,sma_slope_80-40_RSI_22_MACD_30-20
105,logic00106,sma_slope_80-40_RSI_22_MACD_20-10
106,logic00107,sma_slope_80-40_RSI_14_MACD_30-10
107,logic00108,sma_slope_80-40_RSI_14_MACD_30-20
108,logic00109,sma_slope_80-40_RSI_14_MACD_20-10
109,logic00110,sma_slope_80-40_RSI_9_MACD_30-10
110,logic00111,sma_slope_80-40_RSI_9_MACD_30-20
111,logic00112,sma_slope_80-40_RSI_9_MACD_20-10
112,logic00113,sma_slope_40-5_RSI_22_MACD_30-10
113,logic00114,sma_slope_40-5_RSI_22_MACD_30-20
114,logic00115,sma_slope_40-5_RSI_22_MACD_20-10
115,logic00116,sma_slope_40-5_RSI_14_MACD_30-10
116,logic00117,sma_slope_40-5_RSI_14_MACD_30-20
117,logic00118,sma_slope_40-5_RSI_14_MACD_20-10
118,logic00119,sma_slope_40-5_RSI_9_MACD_30-10
119,logic00120,sma_slope_40-5_RSI_9_MACD_30-20
120,logic00121,sma_slope_40-5_RSI_9_MACD_20-10
121,logic00122,sma_slope_40-10_RSI_22_MACD_30-10
122,logic00123,sma_slope_40-10_RSI_22_MACD_30-20
123,logic00124,sma_slope_40-10_RSI_22_MACD_20-10
124,logic00125,sma_slope_40-10_RSI_14_MACD_30-10
125,logic00126,sma_slope_40-10_RSI_14_MACD_30-20
126,logic00127,sma_slope_40-10_RSI_14_MACD_20-10
127,logic00128,sma_slope_40-10_RSI_9_MACD_30-10
128,logic00129,sma_slope_40-10_RSI_9_MACD_30-20
129,logic00130,sma_slope_40-10_RSI_9_MACD_20-10
130,logic00131,sma_slope_40-20_RSI_22_MACD_30-10
131,logic00132,sma_slope_40-20_RSI_22_MACD_30-20
132,logic00133,sma_slope_40-20_RSI_22_MACD_20-10
133,logic00134,sma_slope_40-20_RSI_14_MACD_30-10
134,logic00135,sma_slope_40-20_RSI_14_MACD_30-20
135,logic00136,sma_slope_40-20_RSI_14_MACD_20-10
136,logic00137,sma_slope_40-20_RSI_9_MACD_30-10
137,logic00138,sma_slope_40-20_RSI_9_MACD_30-20
138,logic00139,sma_slope_40-20_RSI_9_MACD_20-10
139,logic00140,sma_slope_20-5_RSI_22_MACD_30-10
140,logic00141,sma_slope_20-5_RSI_22_MACD_30-20
141,logic00142,sma_slope_20-5_RSI_22_MACD_20-10
142,logic00143,sma_slope_20-5_RSI_14_MACD_30-10
143,logic00144,sma_slope_20-5_RSI_14_MACD_30-20
144,logic00145,sma_slope_20-5_RSI_14_MACD_20-10
145,logic00146,sma_slope_20-5_RSI_9_MACD_30-10
146,logic00147,sma_slope_20-5_RSI_9_MACD_30-20
147,logic00148,sma_slope_20-5_RSI_9_MACD_20-10
148,logic00149,sma_slope_20-10_RSI_22_MACD_30-10
149,logic00150,sma_slope_20-10_RSI_22_MACD_30-20
150,logic00151,sma_slope_20-10_RSI_22_MACD_20-10
151,logic00152,sma_slope_20-10_RSI_14_MACD_30-10
152,logic00153,sma_slope_20-10_RSI_14_MACD_30-20
153,logic00154,sma_slope_20-10_RSI_14_MACD_20-10
154,logic00155,sma_slope_20-10_RSI_9_MACD_30-10
155,logic00156,sma_slope_20-10_RSI_9_MACD_30-20
156,logic00157,sma_slope_20-10_RSI_9_MACD_20-10
157,logic00158,sma_slope_10-5_RSI_22_MACD_30-10
158,logic00159,sma_slope_10-5_RSI_22_MACD_30-20
159,logic00160,sma_slope_10-5_RSI_22_MACD_20-10
160,logic00161,sma_slope_10-5_RSI_14_MACD_30-10
161,logic00162,sma_slope_10-5_RSI_14_MACD_30-20
162,logic00163,sma_slope_10-5_RSI_14_MACD_20-10
163,logic00164,sma_slope_10-5_RSI_9_MACD_30-10
164,logic00165,sma_slope_10-5_RSI_9_MACD_30-20
165,logic00166,sma_slope_10-5_RSI_9_MACD_20-10
166,logic00167,bb_80_dev_1
167,logic00168,bb_80_dev_2
168,logic00169,bb_80_dev_3
169,logic00170,bb_40_dev_1
170,logic00171,bb_40_dev_2
171,logic00172,bb_40_dev_3
172,logic00173,bb_20_dev_1
173,logic00174,bb_20_dev_2
174,logic00175,bb_20_dev_3
175,logic00176,bb_10_dev_1
176,logic00177,bb_10_dev_2
177,logic00178,bb_10_dev_3
178,logic00179,bb_5_dev_1
179,logic00180,bb_5_dev_2
180,logic00181,bb_5_dev_3
181,logic00182,bb_80_dev1_RSI_22
182,logic00183,bb_80_dev2_RSI_22
183,logic00184,bb_80_dev3_RSI_22
184,logic00185,bb_40_dev1_RSI_22
185,logic00186,bb_40_dev2_RSI_22
186,logic00187,bb_40_dev3_RSI_22
187,logic00188,bb_20_dev1_RSI_22
188,logic00189,bb_20_dev2_RSI_22
189,logic00190,bb_20_dev3_RSI_22
190,logic00191,bb_10_dev1_RSI_22
191,logic00192,bb_10_dev2_RSI_22
192,logic00193,bb_10_dev3_RSI_22
193,logic00194,bb_5_dev1_RSI_22
194,logic00195,bb_5_dev2_RSI_22
195,logic00196,bb_5_dev3_RSI_22
196,logic00197,bb_80_dev1_RSI_14
197,logic00198,bb_80_dev2_RSI_14
198,logic00199,bb_80_dev3_RSI_14
199,logic00200,bb_40_dev1_RSI_14
200,logic00201,bb_40_dev2_RSI_14
201,logic00202,bb_40_dev3_RSI_14
202,logic00203,bb_20_dev1_RSI_14
203,logic00204,bb_20_dev2_RSI_14
204,logic00205,bb_20_dev3_RSI_14
205,logic00206,bb_10_dev1_RSI_14
206,logic00207,bb_10_dev2_RSI_14
207,logic00208,bb_10_dev3_RSI_14
208,logic00209,bb_5_dev1_RSI_14
209,logic00210,bb_5_dev2_RSI_14
210,logic00211,bb_5_dev3_RSI_14
211,logic00212,bb_80_dev1_RSI_9
212,logic00213,bb_80_dev2_RSI_9
213,logic00214,bb_80_dev3_RSI_9
214,logic00215,bb_40_dev1_RSI_9
215,logic00216,bb_40_dev2_RSI_9
216,logic00217,bb_40_dev3_RSI_9
217,logic00218,bb_20_dev1_RSI_9
218,logic00219,bb_20_dev2_RSI_9
219,logic00220,bb_20_dev3_RSI_9
220,logic00221,bb_10_dev1_RSI_9
221,logic00222,bb_10_dev2_RSI_9
222,logic00223,bb_10_dev3_RSI_9
223,logic00224,bb_5_dev1_RSI_9
224,logic00225,bb_5_dev2_RSI_9
225,logic00226,bb_5_dev3_RSI_9
226,logic00227,DMI
